# epoch,error,accuracy,hid_w0,hid_w1,hid_w2,hid_w3,hid_w4,hid_w5,hid_w6,hid_w7,hid_w8,hid_w9,hid_w10,hid_w11,hid_w12,hid_w13,hid_w14,hid_w15,hid_w16,hid_w17,hid_w18,hid_w19,hid_w20,hid_w21,hid_w22,hid_w23,hid_w24,out_w0,out_w1,out_w2,out_w3,out_w4,out_w5,out_w6,out_w7,out_w8,out_w9,out_w10,out_w11,out_w12,out_w13,out_w14,out_w15,out_w16,out_w17
1.000000000000000000e+00,6.355779437738082294e+01,3.333333333333333148e-01,5.501968657665333717e-01,7.052174881786318350e-01,2.889143987645602651e-01,5.099632805289330273e-01,8.928076884126461277e-01,8.699281943252954452e-01,-2.586888154930833822e-02,1.227517473116005176e-01,-3.784415639514299157e-02,4.132558080379435395e-01,2.904412437612470532e-02,4.528123504942931365e-01,6.463952816444915594e-01,2.773642024980548237e-01,6.761046476197949406e-01,5.817837686937098463e-01,-2.514068615700836007e-02,5.313911978063180497e-01,2.329351665291997386e-01,4.078978132263899603e-01,2.827571445097265546e-01,6.890816876797121182e-01,4.380884906708985560e-01,1.547836085575508835e-01,5.440575802247225035e-01,2.485701310393885824e-02,-4.490469515771617903e-01,-4.371178222563055771e-01,-3.668969258135402201e-01,1.965421334311955315e-01,2.209613052099527186e-01,-7.860793740732219259e-02,1.524893440847650550e-01,1.970399168689830061e-01,-3.711478415438371203e-01,-6.374099480091742764e-01,-9.644186159621669086e-02,3.655510583841091177e-01,1.706706193411572647e-01,4.074932245226891431e-02,2.178099458475140082e-01,2.988372123065027863e-01,7.903964376717760587e-02
2.000000000000000000e+00,6.732820208295817110e+01,3.333333333333333148e-01,5.500216387636448490e-01,7.044140175407275217e-01,2.883058266548210735e-01,5.098391663316815814e-01,8.928209114084352249e-01,8.857602588274914313e-01,8.365666984104387638e-02,1.548803855123444539e-01,7.255494413656686514e-02,4.502797352994858948e-01,2.917767399151070806e-02,4.535758619820573490e-01,6.468305411922965487e-01,2.777670014229255968e-01,6.762372803919884934e-01,5.865921137670627727e-01,-4.688754611757964437e-03,5.528645167975049235e-01,2.273303440199441472e-01,4.048917934435243282e-01,2.835993614538961372e-01,6.930357623927708710e-01,4.410059292447287005e-01,1.554482753256015981e-01,5.440251581186579255e-01,-1.603610777465751813e-01,-6.352106078371120290e-01,-6.729289419732796818e-01,-5.539550482199702142e-01,4.721347139319006722e-03,3.471531395668171760e-02,-1.721821457043402892e-01,5.927984728215392879e-02,1.010433377531066157e-01,-4.641958330159917101e-01,-7.285515249733665044e-01,-1.897173837556566378e-01,3.282539161547785023e-01,1.345832514968545446e-01,1.535395963848424083e-01,1.835273199712685044e-01,2.800381305605086357e-01,4.348016246364451443e-02
3.000000000000000000e+00,6.746557938467262261e+01,3.333333333333333148e-01,5.496622232040144773e-01,7.027035237063052886e-01,2.870764530075862742e-01,5.094500038624841798e-01,8.927917125925984854e-01,8.799294545754664520e-01,8.150197752342921986e-02,1.142360888439346023e-01,1.445456030379874413e-01,4.796528614951766079e-01,2.866995763682991458e-02,4.511641280251816322e-01,6.451424167489353545e-01,2.771753052175133791e-01,6.761985706853878009e-01,5.886533550435094631e-01,2.506878363198235520e-03,5.648852688834157254e-01,2.185105601966074451e-01,4.015674972614421967e-01,2.844185108062847744e-01,6.969098513705375142e-01,4.438362838766213292e-01,1.561469696595474965e-01,5.440176327337775675e-01,-1.528981626644554948e-01,-6.290333836241253085e-01,-7.273462792899800800e-01,-5.492466215802292995e-01,-1.053364367323855570e-03,4.065874064136140026e-02,-1.722313403379293895e-01,5.942594645928147429e-02,7.794500203211791878e-02,-4.641892161083016610e-01,-7.306074328110805371e-01,-1.897417076013246939e-01,3.104193520154478469e-01,1.179241871897723365e-01,2.259376971619158070e-01,1.686006959798356242e-01,2.783648485596481592e-01,2.727221505714181454e-02
4.000000000000000000e+00,6.729069723185955354e+01,3.333333333333333148e-01,5.493269108008669299e-01,7.011101201052729603e-01,2.859265810540221886e-01,5.090948152424585871e-01,8.927675367794816186e-01,8.661537758487690697e-01,4.986865946876579275e-02,4.004921487400075336e-02,2.344489900839495655e-01,5.187474646692999958e-01,2.819954237008396453e-02,4.489244236523021181e-01,6.435804749021836191e-01,2.766103284304673449e-01,6.761567518018009038e-01,5.902494439931196268e-01,7.400147404268562351e-03,5.752038922832819479e-01,2.091856848888215270e-01,3.981756977109702778e-01,2.852436061843921511e-01,7.008140020690020178e-01,4.466801344043027644e-01,1.568652269572724522e-01,5.440150999844823865e-01,-1.382361876484407004e-01,-6.156661412450369353e-01,-7.938842190447633618e-01,-5.373793012599590302e-01,1.413685984207840906e-03,5.384885729391096498e-02,-1.666728049289060432e-01,6.517571107597901203e-02,4.914078089815498290e-02,-4.585940698339437960e-01,-7.273639242445405495e-01,-1.841692876958032909e-01,2.882004467733602082e-01,9.689702578960866786e-02,3.268867170384881504e-01,1.493478560511058983e-01,2.712597543628909036e-01,6.636332367716716446e-03
5.000000000000000000e+00,6.689379456461587381e+01,3.333333333333333148e-01,5.490281286399071314e-01,6.996964308655377884e-01,2.848984543355164156e-01,5.087932808544455288e-01,8.927520556082703118e-01,8.438451657495181779e-01,-7.290178066939402395e-03,-7.626035373976260134e-02,3.661053183540135536e-01,5.772061259225440555e-01,2.780597430297090597e-02,4.470531436432077510e-01,6.422756763526055179e-01,2.761310306619185195e-01,6.761209216328213367e-01,5.914940325927818821e-01,1.045624777808374858e-02,5.842438381227045285e-01,1.992560957841512104e-01,3.946280530890761140e-01,2.860690856801805793e-01,7.047239271305644204e-01,4.495134441729770058e-01,1.576097045022557541e-01,5.440212471224847857e-01,-1.201836836209018433e-01,-5.988867586376349639e-01,-8.960340793034651252e-01,-5.220869942377999173e-01,8.427007735812399106e-03,7.051087355811809509e-02,-1.553862915245229348e-01,7.665706379111525415e-02,-9.138440991943800815e-03,-4.472729102723790318e-01,-7.186443701890614655e-01,-1.728708103916497263e-01,2.548873203753824757e-01,6.478091387485479524e-02,5.084541785230135558e-01,1.190398955917474633e-01,2.522578262516783076e-01,-2.514374968783759587e-02
6.000000000000000000e+00,6.598908288832643620e+01,3.333333333333333148e-01,5.487668836580336107e-01,6.984681270188403124e-01,2.839956531706704923e-01,5.085475870072277971e-01,8.927459670535464742e-01,8.178436179395394134e-01,-6.906046307400084960e-02,-2.077000504006701054e-01,5.227066990041004946e-01,6.482065673069273837e-01,2.751052215171820997e-02,4.456565861492662872e-01,6.412982427687893283e-01,2.757698136285468005e-01,6.760961656099953032e-01,5.926676417904374050e-01,1.295436358924798893e-02,5.929714936619494559e-01,1.888590625900671005e-01,3.908660400749794928e-01,2.868991695128380592e-01,7.086602899804338440e-01,4.523464193295451685e-01,1.583929587259391703e-01,5.440386113327244644e-01,-9.620052056500766335e-02,-5.761578232367964292e-01,-1.043557584160899498e+00,-5.008337385418263343e-01,2.222849450033247826e-02,9.317387420218711802e-02,-1.401493873418200309e-01,9.210024266705135743e-02,-8.821730492115358035e-02,-4.319839377665773972e-01,-7.061052470273219139e-01,-1.576144517683835122e-01,2.113658190200123077e-01,2.242286519701221226e-02,7.683236613299700979e-01,7.846977838827288998e-02,2.221228649783337505e-01,-6.722113855884273570e-02
7.000000000000000000e+00,6.399176190504551442e+01,3.333333333333333148e-01,5.485491372991070369e-01,6.974530094864784813e-01,2.832372642100583482e-01,5.083645654945788683e-01,8.927495805638044901e-01,7.911926655692675947e-01,-1.274000276035784085e-01,-3.369472646215276868e-01,6.830694627520182971e-01,7.219314732664295908e-01,2.734570529811596734e-02,4.448900016636710975e-01,6.407542774016153908e-01,2.755688071882688162e-01,6.760868533700269412e-01,5.941051860432950971e-01,1.651533266509789405e-02,6.024674865600737617e-01,1.784608018921083339e-01,3.869421764611868930e-01,2.877415328806329775e-01,7.126608538583172336e-01,4.552037398163502058e-01,1.592287082974780110e-01,5.440699973649522070e-01,-6.352333749930320905e-02,-5.447154188908838179e-01,-1.231510045044293289e+00,-4.708542160652399167e-01,4.536906684412138346e-02,1.245931679200778797e-01,-1.273457171586664938e-01,1.051309618464749546e-01,-1.541144179900423294e-01,-4.190819910557671557e-01,-6.958515032270660150e-01,-1.447705481479684697e-01,1.607239258793329018e-01,-2.712015457413479574e-02,1.058074829109701964e+00,3.064545806980949541e-02,1.837897284834541234e-01,-1.165354975337896115e-01
8.000000000000000000e+00,6.075189632801757966e+01,3.333333333333333148e-01,5.483840567703011093e-01,6.966943787761002982e-01,2.826533558781006428e-01,5.082562378029344963e-01,8.927642179522301547e-01,7.645811305106936517e-01,-1.853049301944766081e-01,-4.598924048941913645e-01,8.354666718202808928e-01,7.930107980877557639e-01,2.733515178872670398e-02,4.448654649240075809e-01,6.407203815629304300e-01,2.755621964347914621e-01,6.760977121894966579e-01,5.959096803646432017e-01,2.168498391298600073e-02,6.129946014380242003e-01,1.684010446387737558e-01,3.829470918594524154e-01,2.885924729153437340e-01,7.167088036209802171e-01,4.580713855775531140e-01,1.601168673612566595e-01,5.441169951329986043e-01,-2.436775332492786481e-02,-5.067573958750363206e-01,-1.448428675100305485e+00,-4.343179882071395714e-01,7.574601090910174084e-02,1.625655458177444335e-01,-1.197203953075358512e-01,1.130038820282522338e-01,-1.927376809258902202e-01,-4.113083993957100115e-01,-6.905325189417350629e-01,-1.370836253149461115e-01,1.075133456083889189e-01,-7.931746632632562244e-02,1.345300624613545049e+00,-1.993948544618070334e-02,1.416274661944773583e-01,-1.685492325477218056e-01
9.000000000000000000e+00,5.676702741227416027e+01,3.333333333333333148e-01,5.482744316103154159e-01,6.962050112485752562e-01,2.822528799031737701e-01,5.082264208896556390e-01,8.927903402678826206e-01,7.386960752837783417e-01,-2.424328407785333594e-01,-5.737426593850659673e-01,9.739505864444535366e-01,8.587584540141476319e-01,2.747596114885570220e-02,4.455687852322401388e-01,6.411849649902332526e-01,2.757519433823854005e-01,6.761305085349335053e-01,5.979819762216608270e-01,2.804643546648292671e-02,6.241663494763248776e-01,1.587605926302692039e-01,3.789501417592245347e-01,2.894389233806698436e-01,7.207418528572325789e-01,4.609059192456493870e-01,1.610413279974753642e-01,5.441781973157426844e-01,1.665331549752414181e-02,-4.668775476492745269e-01,-1.679993395397343381e+00,-3.957848486317609438e-01,1.089409964517823182e-01,2.024924014427209318e-01,-1.162904018467713352e-01,1.166949937311318186e-01,-2.094179267179661630e-01,-4.076965704735723284e-01,-6.892341480019276156e-01,-1.335789740559236993e-01,5.576696571563995175e-02,-1.301486257344461051e-01,1.617133227229134995e+00,-6.929179364496260152e-02,9.954455239623860585e-02,-2.192341130236884483e-01
1.000000000000000000e+01,5.280084788288828435e+01,3.333333333333333148e-01,5.482148538426480089e-01,6.959581981281309782e-01,2.820174845802331243e-01,5.082676339853012815e-01,8.928268468787249335e-01,7.143446120976185698e-01,-2.969974280078793161e-01,-6.765159811521919142e-01,1.095912351872777135e+00,9.178332250799234870e-01,2.774347423963455586e-02,4.468816418972525462e-01,6.420648609836420162e-01,2.761100848061975865e-01,6.761830490916919123e-01,6.001451816914694648e-01,3.480834269991099628e-02,6.353925128054572768e-01,1.494407858870675232e-01,3.749852989719471563e-01,2.902645294245941865e-01,7.246816358385206325e-01,4.636559586355471496e-01,1.619764615523522633e-01,5.442496482211913733e-01,5.568837175419134172e-02,-4.289147882350250462e-01,-1.913058281446025299e+00,-3.590674603885295468e-01,1.412110526757397178e-01,2.405301046072681470e-01,-1.149036267751437357e-01,1.183492071065576634e-01,-2.153169525976609822e-01,-4.061130800398947138e-01,-6.899084565868577323e-01,-1.321129390096535683e-01,7.653139632891098679e-03,-1.774480004186536619e-01,1.869954670401794861e+00,-1.152594307226322001e-01,5.973325659677237998e-02,-2.664171676435885261e-01
