# epoch,error,accuracy,hid_w0,hid_w1,hid_w2,hid_w3,hid_w4,hid_w5,hid_w6,hid_w7,hid_w8,hid_w9,hid_w10,hid_w11,hid_w12,hid_w13,hid_w14,hid_w15,hid_w16,hid_w17,hid_w18,hid_w19,hid_w20,hid_w21,hid_w22,hid_w23,hid_w24,out_w0,out_w1,out_w2,out_w3,out_w4,out_w5,out_w6,out_w7,out_w8,out_w9,out_w10,out_w11,out_w12,out_w13,out_w14,out_w15,out_w16,out_w17
1.000000000000000000e+00,7.723840444912144676e+01,3.333333333333333148e-01,2.216245569239701230e-01,8.689405287330360661e-01,2.054912887862334059e-01,9.180992137521509777e-01,4.883323805586206601e-01,6.110897048659107433e-01,7.625657895748478854e-01,5.163779138066726393e-01,2.953561114007604016e-01,1.873670141212144813e-01,8.091145228675276913e-02,7.390483051079330679e-01,4.420893778495577076e-01,1.577865293153595527e-01,8.796838681879993738e-01,2.709467311041561799e-01,3.987617879163150580e-01,2.855530766475223303e-01,6.242532388616419681e-01,5.791043268659734622e-01,6.013256046508421715e-01,2.735037513488333683e-01,2.899742641883241157e-01,2.569575054732186614e-01,3.287523862965286980e-01,-5.580196198965806653e-01,-5.365813834365288360e-01,2.619387143445662813e-01,2.583390187069429245e-01,-5.133753134989796907e-01,-6.712059028723675880e-01,-4.040905989570222068e-01,9.187604882418114183e-02,1.715081442034626091e-01,-5.840269453949031853e-01,-2.425333669158455385e-02,-5.907912105116018830e-01,1.935865104061750275e-01,3.180694384249741491e-01,6.639947147593502352e-01,-6.221281155146623359e-02,4.824740171238344200e-01,5.554969016480386657e-01
2.000000000000000000e+00,6.865087356797828022e+01,3.333333333333333148e-01,2.214088488531447130e-01,8.679054481881364191e-01,2.047674063447840476e-01,9.178239018029686891e-01,4.882982870979634127e-01,6.111011043809921883e-01,7.626011006374645573e-01,5.164435723737764716e-01,2.952687099929218739e-01,1.873280472511426320e-01,8.234800864250679808e-02,7.458828634718752681e-01,4.470150084755203368e-01,1.592209257657964117e-01,8.797619788823860532e-01,2.677763940492323691e-01,3.834003172224458300e-01,2.746746569435260521e-01,6.204819071142199105e-01,5.786990853366290599e-01,5.920626816517808866e-01,2.306077421947324291e-01,2.575829770470031144e-01,2.521849127123547696e-01,3.304758337586825578e-01,-5.939273438255094906e-01,-5.731258609522936753e-01,2.255252415022407364e-01,2.210240694688402618e-01,-5.561737018560687362e-01,-7.187552991489056797e-01,-4.174932865978715490e-01,7.859941757071790824e-02,1.581238531281619897e-01,-5.972977520248153871e-01,-3.660061988245222331e-02,-6.057558254284000077e-01,2.926620536396695380e-02,1.544446671406472515e-01,5.003827124115954872e-01,-2.247489852365689156e-01,3.262777080524829620e-01,4.120760103727282297e-01
3.000000000000000000e+00,6.790193215747831346e+01,3.333333333333333148e-01,2.212392569018045152e-01,8.670925606466917124e-01,2.041972292361003416e-01,9.176116082233863880e-01,4.882730145161451873e-01,6.112279566146980869e-01,7.632104697834294349e-01,5.168924502846299340e-01,2.953611951233574562e-01,1.873220043428668047e-01,8.374582917083524258e-02,7.525170969621811645e-01,4.518045260768608906e-01,1.606020108664813761e-01,8.798293810284071315e-01,2.649453616142884438e-01,3.697587730330209044e-01,2.649349969741422450e-01,6.172884361284574073e-01,5.784094959838204097e-01,5.811868156631210258e-01,1.818298275868455716e-01,2.190230310661887558e-01,2.510380936235608318e-01,3.344683882463924673e-01,-5.914892205594675101e-01,-5.713534335766536909e-01,2.274261959746626538e-01,2.220645901377335252e-01,-5.618616121936130803e-01,-7.343478724105616529e-01,-4.181246632712783962e-01,7.808585101831844177e-02,1.575005287402950760e-01,-5.978280846558023942e-01,-3.617065513191829867e-02,-6.103159262418101916e-01,1.456052432673251434e-02,1.403269869057148789e-01,4.862526397632332409e-01,-2.380468732141994281e-01,3.189706452307098372e-01,4.192359298959812408e-01
4.000000000000000000e+00,6.763741851919357373e+01,3.333333333333333148e-01,2.210757499833608808e-01,8.663090952199039574e-01,2.036470605084705066e-01,9.174079825454174442e-01,4.882490853966248157e-01,6.113645428695336781e-01,7.638661951779699422e-01,5.173737403487256303e-01,2.954654481777284625e-01,1.873172112644873599e-01,8.509120658819721572e-02,7.589007628250264981e-01,4.564105886241281440e-01,1.619342785352501646e-01,8.798953183208182427e-01,2.617902137488409831e-01,3.545543282214879688e-01,2.540580040381810178e-01,6.137681310659963696e-01,5.781005255449201963e-01,5.646889369670390346e-01,1.117759104625458827e-01,1.588468295845709699e-01,2.611533667065240594e-01,3.456623176237890727e-01,-5.883609575862525087e-01,-5.688964660593164302e-01,2.300187081908902920e-01,2.238602346265212428e-01,-5.678561794907994731e-01,-7.536739185638579031e-01,-4.173361182497694610e-01,7.899728450092496912e-02,1.583003939668903293e-01,-5.969345954900581175e-01,-3.414708110657790202e-02,-6.244479731738533657e-01,7.072732553472299219e-03,1.334226832698097998e-01,4.793295202401887667e-01,-2.442137691226152763e-01,3.196458629390570572e-01,4.470250128041157178e-01
5.000000000000000000e+00,6.767999974791663931e+01,3.333333333333333148e-01,2.209176901590363673e-01,8.655528518741847366e-01,2.031146474648864442e-01,9.172139037603924683e-01,4.882271720002588911e-01,6.114972087239587406e-01,7.644992298183861390e-01,5.178432492956631661e-01,2.955575297836433579e-01,1.873093219238308182e-01,8.639656348637261840e-02,7.650890625856529015e-01,4.608781449480980341e-01,1.632189013394549360e-01,8.799562684954373992e-01,2.582334389097877825e-01,3.374447265281398933e-01,2.417480307189343591e-01,6.099372694176651288e-01,5.778052615510974599e-01,5.367226758623480087e-01,1.623877979698036544e-02,5.157618297143473640e-02,3.427953578084162456e-01,3.931544796230499461e-01,-6.135807058110321899e-01,-5.947841751871767446e-01,2.042823934759263882e-01,1.973982025493704051e-01,-6.032725958231883734e-01,-7.129322907403153886e-01,-4.031094988626692799e-01,9.336834979863503636e-02,1.725540471155147526e-01,-5.825687826905843192e-01,-1.819929905131018044e-02,-7.559305792002561919e-01,-6.877292364450178497e-03,1.200585716755038640e-01,4.659422363172506243e-01,-2.569048708608778764e-01,3.149662851389955498e-01,5.295046356535375587e-01
6.000000000000000000e+00,6.780970402532258845e+01,3.333333333333333148e-01,2.207442857989349028e-01,8.647218276342703014e-01,2.025304755981673921e-01,9.169994828327350245e-01,4.882023318762253039e-01,6.116196761273804405e-01,7.650824427696880647e-01,5.182764288311084711e-01,2.956394224383530611e-01,1.873013446802040405e-01,8.765904439782334912e-02,7.710749216209490386e-01,4.651922126569058569e-01,1.644716699390646186e-01,8.800194845782082220e-01,2.538066870942031206e-01,3.161360489262166618e-01,2.263882382517171665e-01,6.052281962227854528e-01,5.774564200172911388e-01,5.039649229490810178e-01,-7.434374327889076151e-02,-7.719459226415199826e-02,4.880506495091065378e-01,4.718548679013030434e-01,-6.445417642337163411e-01,-6.264198601798567356e-01,1.728069082396999356e-01,1.652487867666060650e-01,-6.461312532293680411e-01,-6.396345958807988508e-01,-3.867059367463910324e-01,1.099545809411034691e-01,1.890181815546457533e-01,-5.659589241296566486e-01,9.080813579520371874e-04,-9.354469679898551604e-01,-2.764381889791987790e-02,9.986911627182451512e-02,4.457258526520802011e-01,-2.764921958930406376e-01,3.047346996563036203e-01,6.756107704146955273e-01
7.000000000000000000e+00,6.727149215519493453e+01,3.333333333333333148e-01,2.205503644843019584e-01,8.637901065371158538e-01,2.018771382301040862e-01,9.167562717655618476e-01,4.881728963571664304e-01,6.117453486978385868e-01,7.656823759551676378e-01,5.187173517230092568e-01,2.957314805015272552e-01,1.872963483878153645e-01,8.888425379569178664e-02,7.768873448978349527e-01,4.693705787645756078e-01,1.657055796732225528e-01,8.800878619352765497e-01,2.479096085367694935e-01,2.876781477130571640e-01,2.058793898043128623e-01,5.989289906651468209e-01,5.769716060203504693e-01,4.733840297255381691e-01,-1.493830517719683115e-01,-1.938984523326404696e-01,6.402014742845997253e-01,5.553314105776082643e-01,-6.489209799889578134e-01,-6.314992483517268829e-01,1.678907712560481769e-01,1.596880487965369744e-01,-6.655141051234887417e-01,-6.148497847555716156e-01,-3.688281067795782242e-01,1.280422112816624880e-01,2.069793445123228603e-01,-5.478349577849297436e-01,2.260084372927997909e-02,-1.091325413920650300e+00,-5.628789283911671965e-02,7.178854221291619542e-02,4.176150702416765448e-01,-3.040400873943397420e-01,2.884632557652237472e-01,8.631992179075622662e-01
8.000000000000000000e+00,6.636080832518139516e+01,3.333333333333333148e-01,2.203549072447803792e-01,8.628507291585124639e-01,2.012185074763611914e-01,9.165108478638025469e-01,4.881431183518064043e-01,6.118817354474075376e-01,7.663326057715428297e-01,5.191936110530985804e-01,2.958356497845031075e-01,1.872922963896790360e-01,9.008208522186074430e-02,7.825698542758372511e-01,4.734493617862706727e-01,1.669226811015465661e-01,8.801584222733964680e-01,2.401559943678184539e-01,2.502655139454259547e-01,1.787770344805362788e-01,5.908979807309199250e-01,5.764223974687537888e-01,4.446022384636256763e-01,-2.147687633031695464e-01,-2.991743731311282128e-01,7.895869166422047059e-01,6.371180818695909576e-01,-6.431141083390902180e-01,-6.264051138074315794e-01,1.731547466038517447e-01,1.643487386727629229e-01,-6.793926752548408166e-01,-6.298249228926738885e-01,-3.482275230035188351e-01,1.488801133687856770e-01,2.276858443854463121e-01,-5.269517250541951858e-01,4.877446412653232283e-02,-1.236573467901839862e+00,-9.158109973992227537e-02,3.703796980603298039e-02,3.828313167675567175e-01,-3.383279963795073897e-01,2.684619925709972321e-01,1.084955928773390532e+00
9.000000000000000000e+00,6.512628099336758680e+01,3.333333333333333148e-01,2.201648912857224749e-01,8.619377565738640667e-01,2.005779476515852644e-01,9.162729527963815457e-01,4.881145220703080323e-01,6.120317013089225933e-01,7.670459847980237722e-01,5.197154508617002344e-01,2.959531126292521686e-01,1.872885543741729109e-01,9.125555731386958414e-02,7.881365931106989464e-01,4.774395711895660366e-01,1.681243796089250953e-01,8.802308139904767570e-01,2.292912267172632912e-01,1.979603717256341322e-01,1.404363421503099230e-01,5.804842123537421461e-01,5.759611815544950497e-01,4.166667070709700327e-01,-2.781206800026329584e-01,-3.979703663624998278e-01,9.321801068965994697e-01,7.139872041513168899e-01,-6.323592701192849441e-01,-6.163695638939774568e-01,1.833675429476162300e-01,1.740021808872018461e-01,-6.967555324846916864e-01,-6.736724198293976285e-01,-3.280496904227098165e-01,1.693254493296912910e-01,2.479946852113515676e-01,-5.064534568537711889e-01,7.776565979795080352e-02,-1.374470748294339018e+00,-1.316408708251538551e-01,-2.506976071725554051e-03,3.432510816983850299e-01,-3.774783142687863080e-01,2.489093368257824235e-01,1.324399381705372969e+00
1.000000000000000000e+01,6.356375197491200879e+01,3.333333333333333148e-01,2.199831050718756564e-01,8.610648087979618781e-01,1.999648853184990416e-01,9.160463103651137473e-01,4.880876704035733149e-01,6.121966762482684565e-01,7.678288875287371251e-01,5.202875733377908540e-01,2.960852076097211238e-01,1.872851257255407631e-01,9.240466082485906951e-02,7.935877433740095022e-01,4.813418595978960490e-01,1.693090199137489704e-01,8.803045537461552383e-01,2.116320992647661714e-01,1.138302291546882949e-01,7.669921165999543655e-02,5.675272101610009390e-01,5.767011910163577504e-01,3.897252920377844432e-01,-3.419991364589002325e-01,-4.904153142038492619e-01,1.064205583038436265e+00,7.847299768358788619e-01,-6.167127495753342847e-01,-6.014460495982257848e-01,1.984752228613794189e-01,1.885932626783074217e-01,-7.293482394596493279e-01,-7.388870827546220044e-01,-3.109109882140118630e-01,1.867631027717053249e-01,2.652901132373368109e-01,-4.889583649772595852e-01,1.109393039405516812e-01,-1.503482124722311353e+00,-1.755917073595273936e-01,-4.597588914852215880e-02,2.997457627422747684e-01,-4.206161777266558266e-01,2.381638431115979948e-01,1.567246037908375911e+00
